"name@sourceA","name@sourceB","year@sourceA","year@sourceB","id@sourceA","id@sourceB","Confidence"
"Superbad","Superbad","2007","2007","tt0829482","973",
"Snatch.","Snatch","2000","2000","tt0208092","923",
"Charade","Charade","1963","1963","tt0056923","310",
"Dances with Wolves","Dances With Wolves","1990","1990","tt0099348","360",
"(500) Days of Summer","(500) Days of Summer","2009","2009","tt1022603","1",
"The Godfather: Part II","The Godfather Part 2","1974","1974","tt0071562","107",
"The Remains of the Day","The Remains of the Day","1993","1993","tt0107943","819",
"Brazil","Brazil","1985","1985","tt0088846","259",
"L.A. Confidential","L.A. Confidential","1997","1997","tt0119488","617",
"Love Actually","Love Actually","2003","2003","tt0314331","668",
"Breakfast at Tiffany's","Breakfast At Tiffany's","1961","1961","tt0054698","260",
"The Town","The Town","2010","2010","tt0840361","1029",
"Repulsion","Repulsion","1965","1965","tt0059646","820",
"Dangerous Liaisons","Dangerous Liaisons","1988","1988","tt0094947","361",
"The Social Network","THE SOCIAL NETWORK","2010","2010","tt1285016","924",
"Superman","Superman","1978","1978","tt0078346","974",
"Big Fish","BIG FISH","2003","2003","tt0319061","209",
"Ferris Bueller's Day Off","Ferris Bueller???s Day Off","1986","1986","tt0091042","463",
"Indiana Jones and the Last Crusade","Indiana Jones and the Last Crusade","1989","1989","tt0097576","568",
"Saving Private Ryan","SAVING PRIVATE RYAN","1998","1998","tt0120815","871",
"Gladiator","Gladiator","2000","2000","tt0172495","517",
"Planes, Trains & Automobiles","Planes, Trains & Automobiles","1987","1987","tt0093748","771",
"The Big Lebowski","The Big Lebowski","1998","1998","tt0118715","210",
"Ferris Bueller's Day Off","Ferris Bueller???s Day Off","1986","1986","tt0091042","261",
"Requiem for a Dream","Requiem For a Dream","2000","2000","tt0180093","821",
"Trading Places","Trading Places","1983","1983","tt0086465","1030",
"Field of Dreams","Field of Dreams","1989","1989","tt0097351","464",
"Indiana Jones and the Temple of Doom","Indiana Jones and the Temple Of Doom","1984","1984","tt0087469","569",
"12 Years a Slave","12 Years a Slave","2013","2013","tt2024544","4",
"The Notebook","THE Notebook","2004","2004","tt0332280","720",
"Doctor Zhivago","Doctor Zhivago","1965","1965","tt0059113","413",
"Planet of the Apes","Planet of the Apes","1968","1968","tt0063442","772",
"The Big Sleep","The Big Sleep","1946","1946","tt0038355","211",
"Reservoir Dogs","Reservoir Dogs","1992","1992","tt0105236","822",
"Inglourious Basterds","Inglourious Basterds","2009","2009","tt0361748","570",
"Traffic","Traffic","2000","2000","tt0181865","1031",
"Fight Club","Fight Club","1999","1999","tt0137523","465",
"127 Hours","127 Hours","2010","2010","tt1542344","5",
"Notes on a Scandal","Notes on a Scandal","2006","2006","tt0465551","721",
"M","M","1931","1931","tt0022100","670",
"Glory","Glory","1989","1989","tt0097441","519",
"Dog Day Afternoon","Dog Day Afternoon","1975","1975","tt0072890","414",
"Suspiria","Suspiria","1977","1977","tt0076786","977",
"Star Wars: Episode VI - Return of the Jedi","Star Wars Episode VI: Return Of The Jedi","1983","1983","tt0086190","823",
"Training Day","Training Day","2001","2001","tt0139654","1032",
"The Dark Knight","The Dark Knight","2008","2008","tt0468569","364",
"Dogma","Dogma","1999","1999","tt0120655","415",
"The Fighter","The Fighter","2010","2010","tt0964517","466",
"Scarface","Scarface","1983","1983","tt0086250","874",
"The Player","The Player","1992","1992","tt0105151","774",
"The Godfather","the godfather","1972","1972","tt0068646","522",
"Trainspotting","Trainspotting","1996","1996","tt0117951","1033",
"The Dark Knight Rises","The Dark Knight Rises","2012","2012","tt1345836","365",
"Barry Lyndon","Barry Lyndon","1975","1975","tt0072684","163",
"Donnie Brasco","Donnie Brasco","1997","1997","tt0119008","416",
"21 Grams","21 Grams","2003","2003","tt0315733","7",
"Inside Llewyn Davis","Inside Llewyn Davis","2013","2013","tt2042568","572",
"Annie Hall","Annie Hall","1977","1977","tt0075686","113",
"Pleasantville","Pleasantville","1998","1998","tt0120789","775",
"The Sound of Music","The Sound of Music","1965","1965","tt0059742","929",
"Donnie Darko","Donnie Darko","2001","2001","tt0246578","417",
"Barton Fink","Barton Fink","1991","1991","tt0101410","164",
"The Godfather: Part II","The Godfather Part 2","1974","1974","tt0071562","523",
"The Lady Vanishes","The Lady Vanishes","1938","1938","tt0030341","623",
"Finding Neverland","Finding Neverland","2004","2004","tt0308644","468",
"Interview with the Vampire: The Vampire Chronicles","Interview with the Vampire: The Vampire Chronicles","1994","1994","tt0110148","573",
"Billy Elliot","BILLY ELLIOT","2000","2000","tt0249462","215",
"Source Code","Source Code","2011","2011","tt0945513","930",
"Chasing Amy","Chasing Amy","1997","1997","tt0118842","317",
"Don't Look Now","Don't Look Now","1973","1973","tt0069995","418",
"The Godfather: Part III","The Godfather Part 3","1990","1990","tt0099674","524",
"Scent of a Woman","Scent of a woman","1992","1992","tt0105323","877",
"28 Days Later...","28 Days later","2002","2002","tt0289043","9",
"The Bridge on the River Kwai","The Bridge On The River Kwai","1957","1957","tt0050212","266",
"Poltergeist","Poltergeist","1982","1982","tt0084516","777",
"What's Eating Gilbert Grape","What???s eating gilbert grape","1993","1993","tt0108550","1091",
"Spartacus","Spartacus","1960","1960","tt0054331","931",
"Rise of the Planet of the Apes","Rise Of The Planet Of The Apes","2011","2011","tt1318514","827",
"Taxi Driver","Taxi Driver","1976","1976","tt0075314","982",
"O Brother, Where Art Thou?","O Brother, Where Art thou?","2000","2000","tt0190590","726",
"A Fish Called Wanda","A FISH CALLED WANDA","1988","1988","tt0095159","470",
"Schindler's List","Schindler???s List","1993","1993","tt0108052","878",
"The Bridges of Madison County","The Bridges of Madison County","1995","1995","tt0112579","267",
"Alien","Alien","1979","1979","tt0078748","66",
"Mad Max 2: The Road Warrior","Mad Max 2: The road warrior","1981","1981","tt0082694","676",
"Batman","Batman","1989","1989","tt0096895","167",
"Dawn of the Dead","Dawn of the  Dead","1978","1978","tt0077402","369",
"The Fisher King","The Fisher King","1991","1991","tt0101889","471",
"Double Indemnity","Double Indemnity","1944","1944","tt0036775","420",
"Goldfinger","Goldfinger","1964","1964","tt0058150","526",
"Iron Man","Iron Man","2008","2008","tt0371746","576",
"Aliens","AlienS","1986","1986","tt0090605","67",
"When Harry Met Sally...","When Harry Met Sally...","1989","1989","tt0098635","1093",
"The Prestige","The Prestige","2006","2006","tt0482571","779",
"Ocean's Eleven","Ocean's Eleven","2001","2001","tt0240772","728",
"Gone Baby Gone","Gone baby gone","2007","2007","tt0452623","527",
"Batman Begins","Batman Begins","2005","2005","tt0372784","169",
"Apocalypse Now","Apocalypse Now","1979","1979","tt0078788","118",
"Chinatown","Chinatown","1974","1974","tt0071315","321",
"The Birds","The Birds","1963","1963","tt0056869","220",
"All About Eve","All About Eve","1950","1950","tt0042192","69",
"The Terminator","The Terminator","1984","1984","tt0088247","987",
"Apollo 13","APOLLO 13","1995","1995","tt0112384","119",
"True Romance","True Romance","1993","1993","tt0108399","1041",
"The Last Emperor","The Last Emperor","1987","1987","tt0093389","629",
"Pride & Prejudice","Pride and Prejudice","2005","2005","tt0414387","782",
"Terminator 2: Judgment Day","Terminator 2: Judgment Day","1991","1991","tt0103064","988",
"A Christmas Story","A Christmas Story","1983","1983","tt0085334","323",
"Spider-Man 2","Spider-Man 2","2004","2004","tt0316654","936",
"Who Framed Roger Rabbit","Who Framed Roger Rabbit","1988","1988","tt0096438","1096",
"The Last of the Mohicans","The Last Of The Mohicans","1992","1992","tt0104691","630",
"The Truman Show","The Truman Show","1998","1998","tt0120382","1042",
"Malcolm X","Malcolm X","1992","1992","tt0104797","680",
"Black Hawk Down","Black Hawk Down","2001","2001","tt0265086","222",
"It's a Wonderful Life","IT???S A WONDERFUL LIFE","1946","1946","tt0038650","581",
"Road to Perdition","Road To Perdition","2002","2002","tt0257044","833",
"Gone with the Wind","Gone With the Wind","1939","1939","tt0031381","531",
"All Quiet on the Western Front","All Quiet on the Western Front","1930","1930","tt0020629","71",
"The Princess Bride","THE PRINCESS BRIDE","1987","1987","tt0093779","784",
"The Last Samurai","The Last Samurai","2003","2003","tt0325710","632",
"Terms of Endearment","Terms Of Endearment","1983","1983","tt0086425","990",
"Dazed and Confused","Dazed and Confused","1993","1993","tt0106677","376",
"Good Will Hunting","Good Will Hunting","1997","1997","tt0119217","532",
"The Omen","The Omen","1976","1976","tt0075005","733",
"The Wicker Man","The Wicker Man","1973","1973","tt0070917","1099",
"Bullitt","Bullitt","1968","1968","tt0062765","275",
"E.T. the Extra-Terrestrial","E.T. ??? The Extraterrestrial","1982","1982","tt0083866","427",
"Goodfellas","Goodfellas","1990","1990","tt0099685","533",
"The Cider House Rules","The Cider House Rules","1999","1999","tt0124315","327",
"The Artist","The Artist","2011","2011","tt1655442","124",
"The Last Temptation of Christ","The last temptation Of Christ","1988","1988","tt0095497","634",
"The Texas Chain Saw Massacre","The Texas Chain Saw Massacre","1974","1974","tt0072271","992",
"The Searchers","The Searchers","1956","1956","tt0049730","888",
"The Goonies","The Goonies","1985","1985","tt0089218","534",
"Jackie Brown","jackie brown","1997","1997","tt0119396","584",
"All the President's Men","All the President's Men","1976","1976","tt0074119","74",
"As Good as It Gets","As Good As It Gets","1997","1997","tt0119822","125",
"Cinema Paradiso","Cinema Paradiso","1988","1988","tt0095765","328",
"Blade Runner","blade runner","1982","1982","tt0083658","226",
"About Time","About Time","2013","2013","tt2194499","21",
"On the Waterfront","On The Waterfront","1954","1954","tt0047296","736",
"The Graduate","The Graduate","1967","1967","tt0061722","535",
"Almost Famous","Almost Famous","2000","2000","tt0181875","75",
"The Man Who Knew Too Much","The Man Who Knew Too Much","1956","1956","tt0049470","686",
"Lawrence of Arabia","Lawrence of Arabia","1962","1962","tt0056172","636",
"RoboCop","Robocop","1987","1987","tt0093870","838",
"Dead Poets Society","Dead Poets Society","1989","1989","tt0097165","380",
"Cabaret","Cabaret","1972","1972","tt0068327","278",
"Eastern Promises","Eastern promises","2007","2007","tt0765443","430",
"Sense and Sensibility","Sense And Sensibility","1995","1995","tt0114388","891",
"Gran Torino","Gran Torino","2008","2008","tt1205489","536",
"Jane Eyre","Jane EYRE","2011","2011","tt1229822","586",
"Layer Cake","Layer Cake","2004","2004","tt0375912","637",
"Psycho","Psycho","1960","1960","tt0054215","789",
"Blazing Saddles","BLAZING SADDLES","1974","1974","tt0071230","228",
"Clerks.","Clerks","1994","1994","tt0109445","330",
"The Rock","The Rock","1996","1996","tt0117500","839",
"Easy Rider","Easy Rider","1969","1969","tt0064276","431",
"Forrest Gump","Forrest Gump","1994","1994","tt0109830","483",
"The Grand Budapest Hotel","The Grand Budapest Hotel","2014","2014","tt2278388","537",
"Jaws","Jaws","1975","1975","tt0073195","587",
"Rocky","Rocky","1976","1976","tt0075148","840",
"The French Connection","The French Connection","1971","1971","tt0067116","486",
"Thelma & Louise","Thelma and Louise","1991","1991","tt0103074","996",
"Ed Wood","Ed Wood","1994","1994","tt0109707","432",
"Amadeus","Amadeus","1984","1984","tt0086879","79",
"Manhattan","Manhattan","1979","1979","tt0079522","689",
"Stand by Me","Stand By Me","1986","1986","tt0092005","945",
"Caddyshack","Caddyshack","1980","1980","tt0080487","281",
"A Clockwork Orange","A Clockwork Orange","1971","1971","tt0066921","332",
"A Beautiful Mind","A Beautiful Mind","2001","2001","tt0268978","180",
"The Grapes of Wrath","The Grapes Of Wrath","1940","1940","tt0032551","539",
"Serpico","Serpico","1973","1973","tt0070666","894",
"Close Encounters of the Third Kind","Close Encounters of the Third Kind","1977","1977","tt0075860","333",
"The Abyss","The Abyss","1989","1989","tt0096754","26",
"Pulp Fiction","Pulp Fiction","1994","1994","tt0110912","792",
"An Education","An Education","2009","2009","tt1174732","434",
"Atonement","Atonement","2007","2007","tt0783233","130",
"Roman Holiday","Roman Holiday","1953","1953","tt0046250","843",
"The Wolf of Wall Street","The Wolf Of Wall Street","2013","2013","tt0993846","1107",
"Closer","Closer","2004","2004","tt0376541","334",
"Edward Scissorhands","EdWARD SCISSORHANDS","1990","1990","tt0099487","435",
"Jurassic Park","Jurassic Park","1993","1993","tt0107290","591",
"The Third Man","The Third Man","1949","1949","tt0041959","999",
"Se7en","seven","1995","1995","tt0114369","896",
"Cape Fear","CAPE FEAR","1991","1991","tt0101540","284",
"The Untouchables","The Untouchables","1987","1987","tt0094226","1058",
"Blood Simple.","Blood Simple","1984","1984","tt0086979","233",
"Marathon Man","Marathon Man","1976","1976","tt0074860","692",
"This Is Spinal Tap","This Is Spinal Tap","1984","1984","tt0088258","1003",
"L??on: The Professional","Leon ??? The Professional","1994","1994","tt0110413","643",
"Beetlejuice","Beetlejuice","1988","1988","tt0094721","184",
"Lethal Weapon","Lethal Weapon","1987","1987","tt0093409","644",
"Collateral","Collateral","2004","2004","tt0369339","337",
"The Usual Suspects","The Usual Suspects","1995","1995","tt0114814","1060",
"Captain America: The Winter Soldier","Captain America: The Winter soldier","2014","2014","tt1843866","286",
"The Deer Hunter","The Deer Hunter","1978","1978","tt0077416","388",
"The Green Mile","The Green Mile","1999","1999","tt0120689","544",
"Before Sunrise","Before Sunrise","1995","1995","tt0112471","185",
"The Elephant Man","The Elephant Man","1980","1980","tt0080678","439",
"Blow-Up","Blowup","1966","1966","tt0060176","235",
"Master and Commander: The Far Side of the World","Master And Commander: The Far Side of the World","2003","2003","tt0311113","695",
"Quills","Quills","2000","2000","tt0180073","797",
"Rosemary's Baby","Rosemary's Baby","1968","1968","tt0063522","847",
"V for Vendetta","V For Vendetta","2005","2005","tt0434409","1061",
"From Russia with Love","From Russia With Love","1963","1963","tt0057076","493",
"Carlito's Way","CARLITO???S WAY","1993","1993","tt0106519","287",
"Deliverance","Deliverance","1972","1972","tt0068473","389",
"Before Sunset","Before Sunset","2004","2004","tt0381681","186",
"Shadow of a Doubt","Shadow Of A Doubt","1943","1943","tt0036342","900",
"Blue Jasmine","Blue Jasmine","2013","2013","tt2334873","236",
"Match Point","Match Point","2005","2005","tt0416320","696",
"Wonder Boys","Wonder Boys","2000","2000","tt0185014","1112",
"The Royal Tenenbaums","The Royal Tenenbaums","2001","2001","tt0265666","848",
"The Departed","The Departed","2006","2006","tt0407887","391",
"The Matrix","The Matrix","1999","1999","tt0133093","697",
"Paris, Texas","Paris, Texas","1984","1984","tt0087884","748",
"American Beauty","American Beauty","1999","1999","tt0169547","87",
"Blue Velvet","Blue Velvet","1986","1986","tt0090756","238",
"The Aviator","The Aviator","2004","2004","tt0338751","138",
"Star Trek","Star Trek","2009","2009","tt0796366","954",
"Kick-Ass","Kick-Ass","2010","2010","tt1250777","598",
"Raging Bull","Raging Bull","1980","1980","tt0081398","800",
"Contact","Contact","1997","1997","tt0118884","341",
"Being There","Being There","1979","1979","tt0078841","189",
"The Blues Brothers","The Blues Brothers","1980","1980","tt0080455","239",
"Empire of the Sun","Empire of the Sun","1987","1987","tt0092965","443",
"Star Trek Into Darkness","Star Trek INTO DARKNESS","2013","2013","tt1408101","955",
"Kill Bill: Vol. 1","Kill Bill: Vol. 1","2003","2003","tt0266697","599",
"Raiders of the Lost Ark","Raiders Of The Lost Ark","1981","1981","tt0082971","801",
"Star Wars: Episode V - The Empire Strikes Back","Star Wars Episode V: The Empire Strikes Back","1980","1980","tt0080684","444",
"Shallow Grave","Shallow Grave","1994","1994","tt0111149","904",
"Groundhog Day","GROUNDHOG DAY","1993","1993","tt0107048","549",
"American Graffiti","American Graffiti","1973","1973","tt0069704","89",
"Rushmore","Rushmore","1998","1998","tt0128445","852",
"American History X","American History X","1998","1998","tt0120586","90",
"Lincoln","LINCOLN","2012","2012","tt0443272","650",
"The Game","The Game","1997","1997","tt0119174","498",
"Kill Bill: Vol. 2","Kill Bill: Vol. 2","2004","2004","tt0378194","600",
"Awakenings","Awakenings","1990","1990","tt0099077","140",
"American Hustle","American Hustle","2013","2013","tt1800241","91",
"Gandhi","Gandhi","1982","1982","tt0083987","499",
"The English Patient","the English patient","1996","1996","tt0116209","446",
"Dawn of the Dead","Shaun Of The Dead","2004","2004","tt0363547","906",
"Shaun of the Dead","Shaun Of The Dead","2004","2004","tt0365748","906",
"Star Wars: Episode III - Revenge of the Sith","Star Wars Episode III: Revenge Of The Sith","2005","2005","tt0121766","958",
"Paths of Glory","Paths of Glory","1957","1957","tt0050825","753",
"Escape from Alcatraz","Escape From Alcatraz","1979","1979","tt0079116","447",
"The Shawshank Redemption","The Shawshank Redemption","1994","1994","tt0111161","907",
"The Devil's Advocate","The Devil???s Advocate","1997","1997","tt0118971","396",
"X-Men","X-Men","2000","2000","tt0120903","1119",
"Vertigo","Vertigo","1958","1958","tt0052357","1069",
"The Name of the Rose","The Name of the rose","1986","1986","tt0091605","703",
"Boogie Nights","Boogie Nights","1997","1997","tt0118749","244",
"Raising Arizona","Raising Arizona","1987","1987","tt0093822","806",
"American Psycho","American Psycho","2000","2000","tt0144084","94",
"Sabrina","Sabrina","1954","1954","tt0047437","856",
"Stardust","Stardust","2007","2007","tt0486655","960",
"Garden State","Garden State","2004","2004","tt0333766","502",
"Crash","CraSH","2004","2004","tt0375679","347",
"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels","1998","1998","tt0120735","654",
"X2","X2","2003","2003","tt0290334","1120",
"Sherlock Holmes","Sherlock Holmes","2009","2009","tt0988045","909",
"Eternal Sunshine of the Spotless Mind","Eternal sunshine of the spotless mind","2004","2004","tt0338013","449",
"American Splendor","American Splendor","2003","2003","tt0305206","95",
"Ben-Hur","Ben Hur","1959","1959","tt0052618","196",
"The Shining","The Shining","1980","1980","tt0081505","910",
"Crazy, Stupid, Love.","Crazy, Stupid, Love","2011","2011","tt1570728","348",
"The Adventures of Priscilla, Queen of the Desert","The Adventures of Priscilla, Queen of the Desert","1994","1994","tt0109045","41",
"An American Werewolf in London","An American Werewolf in London","1981","1981","tt0082010","96",
"Back to the Future","back to the future","1985","1985","tt0088763","146",
"King Kong","king kong","1933","1933","tt0024216","606",
"Back to the Future Part II","back to the future part ii","1989","1989","tt0096874","147",
"X-Men: First Class","X-Men: First class","2011","2011","tt1270798","1123",
"To Catch a Thief","To Catch A Thief","1955","1955","tt0048728","1018",
"The Godfather: Part II","The Godfather Part 2","1974","1974","tt0071562","350",
"The Exorcist","The Exorcist","1973","1973","tt0070047","452",
"The Adventures of Robin Hood","the adventures of robin hood","1938","1938","tt0029843","43",
"Die Hard","Die Hard","1988","1988","tt0095016","401",
"The Bourne Identity","The Bourne Identity","2002","2002","tt0258463","249",
"The Bourne Supremacy","The Bourne Supremacy","2004","2004","tt0372183","250",
"Back to the Future Part II","Back to the Future Part III","1989","1989","tt0096874","148",
"The Sting","The Sting","1973","1973","tt0070735","964",
"To Kill a Mockingbird","To Kill A Mockingbird","1962","1962","tt0056592","1019",
"The Perks of Being a Wallflower","The Perks Of Being A Wallflower","2012","2012","tt1659337","759",
"Shutter Island","Shutter Island","2010","2010","tt1130884","913",
"Crouching Tiger, Hidden Dragon","Crouching tiger, Hidden dragon","2000","2000","tt0190332","351",
"Beverly Hills Cop","Beverly Hills Cop","1984","1984","tt0086960","199",
"Die Hard: With a Vengeance","Die Hard with a Vengeance","1995","1995","tt0112864","402",
"The Bourne Ultimatum","The Bourne Ultimatum","2007","2007","tt0440963","251",
"Casablanca","Casablanca","1942","1942","tt0034583","301",
"After Hours","After Hours","1985","1985","tt0088680","46",
"Rear Window","Rear Window","1954","1954","tt0047396","812",
"Catch Me If You Can","Catch Me If You Can","2002","2002","tt0264464","303",
"Looper","Looper","2012","2012","tt1276104","660",
"Sideways","Sideways","2004","2004","tt0375063","915",
"The Crying Game","The Crying Game","1992","1992","tt0104036","353",
"The Dirty Dozen","The Dirty Dozen","1967","1967","tt0061578","404",
"Rebecca","Rebecca","1940","1940","tt0032976","813",
"Straw Dogs","Straw Dogs","1971","1971","tt0067800","967",
"The Lord of the Rings: The Fellowship of the Ring","Lord of the Rings: The Fellowship of the Ring","2001","2001","tt0120737","661",
"The Silence of the Lambs","The Silence Of The Lambs","1991","1991","tt0102926","916",
"Night of the Living Dead","Night of the Living Dead","1968","1968","tt0063350","712",
"Philadelphia","Philadelphia","1993","1993","tt0107818","763",
"Rebel Without a Cause","Rebel Without A Cause","1955","1955","tt0048545","814",
"The Lord of the Rings: The Two Towers","Lord of the Rings: The Two Towers","2002","2002","tt0167261","662",
"The Sixth Sense","The Sixth Sense","1999","1999","tt0167404","917",
"Falling Down","Falling Down","1993","1993","tt0106856","457",
"Dirty Pretty Things","Dirty Pretty Things","2002","2002","tt0301199","406",
"Boys Don't Cry","Boys Don???t Cry","1999","1999","tt0171804","254",
"The Lord of the Rings: The Return of the King","Lord of the Rings: The Return of the King","2003","2003","tt0167260","663",
"Ghostbusters","Ghostbusters","1984","1984","tt0087332","512",
"Sleepers","Sleepers","1996","1996","tt0117665","919",
"A Nightmare on Elm Street","A Nightmare on Elm Street","1984","1984","tt0087800","714",
"Indiana Jones and the Last Crusade","Indiana Jones and the Last Crusade","1989","1989","tt0097576","970",
"Changeling","Changeling","2008","2008","tt0824747","307",
"No Country for Old Men","No Country For Old Men","2007","2007","tt0477348","715",
"Boyz n the Hood","Boyz n the hood","1991","1991","tt0101507","256",
"In Bruges","In Bruges","2008","2008","tt0780536","564",
"Wall Street","Wall Street","1987","1987","tt0094291","1081",
"The Aviator","The Aviator","2004","2004","tt0338751","1026",
"Lost Highway","Lost Highway","1997","1997","tt0116922","665",
"Airplane!","airplane!","1980","1980","tt0080339","54",
"Total Recall","Total Recall","1990","1990","tt0100802","1027",
"Pirates of the Caribbean: The Curse of the Black Pearl","Pirates of the Caribbean: Curse of the Black Pearl","2003","2003","tt0325980","767",
"Badlands","Badlands","1973","1973","tt0069762","157",
"Chaplin","Chaplin","1992","1992","tt0103939","309",
"Lost in Translation","Lost In Translation","2003","2003","tt0335266","666",
"Sleuth","Sleuth","1972","1972","tt0069281","922",
"North by Northwest","North By Northwest","1959","1959","tt0053125","717",
"Braveheart","Braveheart","1995","1995","tt0112573","258",
"Do the Right Thing","Do The Right Thing","1989","1989","tt0097216","410",
"Inception","Inception","2010","2010","tt1375666","566",
